id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
121,Wales (Cymru),England,1.0,4.0,England,1949-01-01,PRELIMINARY-Europe,Cardiff,1949
122,Yugoslavia (Југославија),France,1.0,1.0,draw,1949-01-01,PRELIMINARY-Eur./N.E.,Beograd,1949
123,Yugoslavia (Југославија),France,3.0,2.0,Yugoslavia (Југославија),1949-01-01,PRELIMINARY-Eur./N.E.,Firenze,1949
124,Yugoslavia (Југославија),Israel (ישראל),6.0,0.0,Yugoslavia (Југославија),1949-01-01,PRELIMINARY-Eur./N.E.,Beograd,1949
125,Bolivia,Chile,2.0,0.0,Bolivia,1950-01-01,PRELIMINARY-S.America,La_Paz,1950
126,Chile,USA,5.0,2.0,Chile,1950-01-01,GROUP_STAGE,Recife,1950
127,Portugal,Spain (España),2.0,2.0,draw,1950-01-01,PRELIMINARY-Europe,Lisboa,1950
128,Scotland,England,0.0,1.0,England,1950-01-01,PRELIMINARY-Europe,Glasgow,1950
129,Spain (España),Portugal,5.0,1.0,Spain (España),1950-01-01,PRELIMINARY-Europe,Madrid,1950
130,Spain (España),USA,3.0,1.0,Spain (España),1950-01-01,GROUP_STAGE,Curitiba,1950
131,USA,England,1.0,0.0,USA,1950-01-01,GROUP_STAGE,Belo Horizonte,1950
132,Wales (Cymru),Northern Ireland (Ulster),0.0,0.0,draw,1950-01-01,PRELIMINARY-Europe,Wrexham,1950
133,Brazil (Brasil),Mexico (México),4.0,0.0,Brazil (Brasil),1950-06-24,GROUP_STAGE,Rio de Janeiro,1950
134,England,Chile,2.0,0.0,England,1950-06-25,GROUP_STAGE,Rio de Janeiro,1950
135,Sweden (Sverige),Italy (Italia),3.0,2.0,Sweden (Sverige),1950-06-25,GROUP_STAGE,São_Paulo,1950
136,Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),3.0,0.0,Yugoslavia (Југославија),1950-06-25,GROUP_STAGE,Belo Horizonte,1950
137,Brazil (Brasil),Switzerland (Schweiz / Suisse),2.0,2.0,draw,1950-06-28,GROUP_STAGE,São_Paulo,1950
138,Yugoslavia (Југославија),Mexico (México),4.0,1.0,Yugoslavia (Југославија),1950-06-28,GROUP_STAGE,Porto_Alegre,1950
139,Spain (España),Chile,2.0,0.0,Spain (España),1950-06-29,GROUP_STAGE,Rio de Janeiro,1950
140,Sweden (Sverige),Paraguay,2.0,2.0,draw,1950-06-29,GROUP_STAGE,Curitiba,1950
141,Brazil (Brasil),Yugoslavia (Југославија),2.0,0.0,Brazil (Brasil),1950-07-01,GROUP_STAGE,Rio de Janeiro,1950
142,Italy (Italia),Paraguay,2.0,0.0,Italy (Italia),1950-07-02,GROUP_STAGE,São_Paulo,1950
143,Spain (España),England,1.0,0.0,Spain (España),1950-07-02,GROUP_STAGE,Rio de Janeiro,1950
144,Switzerland (Schweiz / Suisse),Mexico (México),2.0,1.0,Switzerland (Schweiz / Suisse),1950-07-02,GROUP_STAGE,Porto_Alegre,1950
145,Uruguay,Bolivia,8.0,0.0,Uruguay,1950-07-02,GROUP_STAGE,Belo Horizonte,1950
146,Brazil (Brasil),Sweden (Sverige),7.0,1.0,Brazil (Brasil),1950-07-09,FINAL_ROUND,Rio de Janeiro,1950
147,Uruguay,Spain (España),2.0,2.0,draw,1950-07-09,FINAL_ROUND,São_Paulo,1950
148,Brazil (Brasil),Spain (España),6.0,1.0,Brazil (Brasil),1950-07-13,FINAL_ROUND,Rio de Janeiro,1950
149,Uruguay,Sweden (Sverige),3.0,2.0,Uruguay,1950-07-13,FINAL_ROUND,São_Paulo,1950
150,Sweden (Sverige),Spain (España),3.0,1.0,Sweden (Sverige),1950-07-16,FINAL_ROUND,São_Paulo,1950
151,Uruguay,Brazil (Brasil),2.0,1.0,Uruguay,1950-07-16,FINAL_ROUND,Rio de Janeiro,1950
152,Austria (Österreich),Portugal,9.0,1.0,Austria (Österreich),1953-01-01,PRELIMINARY-Europe,Wien,1953
153,Belgium (België),Finland (Suomi),2.0,2.0,draw,1953-01-01,PRELIMINARY-Europe,Bruxelles,1953
154,Belgium (België),Sweden (Sverige),2.0,0.0,Belgium (België),1953-01-01,PRELIMINARY-Europe,Bruxelles,1953
155,Bulgaria (България),Czechoslovakia (Československo),1.0,2.0,Czechoslovakia (Československo),1953-01-01,PRELIMINARY-Europe,Sofija,1953
156,Bulgaria (България),Romania (România),1.0,2.0,Romania (România),1953-01-01,PRELIMINARY-Europe,Sofija,1953
157,Czechoslovakia (Československo),Bulgaria (България),0.0,0.0,draw,1953-01-01,PRELIMINARY-Europe,Bratislava,1953
158,Czechoslovakia (Československo),Romania (România),2.0,0.0,Czechoslovakia (Československo),1953-01-01,PRELIMINARY-Europe,Praha,1953
159,Egypt (مصر),Italy (Italia),1.0,2.0,Italy (Italia),1953-01-01,PRELIMINARY-Eu./Afr.,Cairo,1953
160,England,Northern Ireland (Ulster),3.0,1.0,England,1953-01-01,PRELIMINARY-Europe,Liverpool,1953
161,FRG (BRD / Westdeutschland),Norway (Norge),5.0,1.0,FRG (BRD / Westdeutschland),1953-01-01,PRELIMINARY-Europe,Hamburg,1953
162,FRG (BRD / Westdeutschland),Saarland,3.0,0.0,FRG (BRD / Westdeutschland),1953-01-01,PRELIMINARY-Europe,Stuttgart,1953
163,Finland (Suomi),Belgium (België),2.0,4.0,Belgium (België),1953-01-01,PRELIMINARY-Europe,Helsinki,1953
164,Finland (Suomi),Sweden (Sverige),3.0,3.0,draw,1953-01-01,PRELIMINARY-Europe,Helsinki,1953
165,France,Ireland (Éire),1.0,0.0,France,1953-01-01,PRELIMINARY-Europe,Paris,1953
166,France,Luxembourg (Lëtzebuerg),8.0,0.0,France,1953-01-01,PRELIMINARY-Europe,Paris,1953
167,Greece (Ελλάδα),Israel (ישראל),1.0,0.0,Greece (Ελλάδα),1953-01-01,PRELIMINARY-Eur./N.E.,Athína,1953
168,Haiti (Haïti),Mexico (México),0.0,4.0,Mexico (México),1953-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1953
169,Ireland (Éire),France,3.0,5.0,France,1953-01-01,PRELIMINARY-Europe,Dublin,1953
170,Ireland (Éire),Luxembourg (Lëtzebuerg),4.0,0.0,Ireland (Éire),1953-01-01,PRELIMINARY-Europe,Dublin,1953
171,Luxembourg (Lëtzebuerg),France,1.0,6.0,France,1953-01-01,PRELIMINARY-Europe,Luxembourg,1953
172,Mexico (México),Haiti (Haïti),8.0,0.0,Mexico (México),1953-01-01,PRELIMINARY-N/C.America,México D.F,1953
173,Northern Ireland (Ulster),Scotland,1.0,3.0,Scotland,1953-01-01,PRELIMINARY-Europe,Belfast,1953
174,Norway (Norge),FRG (BRD / Westdeutschland),1.0,1.0,draw,1953-01-01,PRELIMINARY-Europe,Oslo,1953
175,Norway (Norge),Saarland,2.0,3.0,Saarland,1953-01-01,PRELIMINARY-Europe,Oslo,1953
