id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,edition_year,is_placeholder_date,home_team_id,away_team_id
75,France,Yugoslavia,1.0,4.0,Yugoslavia,1934-01-01,PRELIMINARY-N.E,Jerusalem,1950-BRAZIL,1950,True,90,248
76,Cuba,Mexico,3.0,2.0,Cuba,1934-01-01,PRELIMINARY-N/C.America,Mexico D.F,1950-BRAZIL,1950,True,56,151
77,Cuba,United States,5.0,0.0,Cuba,1934-01-01,PRELIMINARY-N/C.America,Mexico D.F,1950-BRAZIL,1950,True,56,236
78,England,Northern Ireland,4.0,1.0,England,1934-01-01,PRELIMINARY-N/C.America,Mexico D.F,1950-BRAZIL,1950,True,79,169
79,Luxembourg,Switzerland,4.0,2.0,Luxembourg,1934-01-01,PRELIMINARY-N/C.America,Roma,1950-BRAZIL,1950,True,140,216
80,Mexico,Cuba,2.0,1.0,Mexico,1937-01-01,PRELIMINARY-Europe,Wien,1950-BRAZIL,1950,True,151,56
81,Mexico,United States,1.0,1.0,draw,1937-01-01,PRELIMINARY-Europe,Sofija,1950-BRAZIL,1950,True,151,236
82,Northern Ireland,Scotland,0.0,1.0,Scotland,1937-01-01,PRELIMINARY-Europe,Turku,1950-BRAZIL,1950,True,169,195
83,Scotland,Wales,0.0,2.0,Wales,1937-01-01,PRELIMINARY-Europe,Helsinki,1950-BRAZIL,1950,True,195,245
84,Sweden,Finland,4.0,1.0,Sweden,1937-01-01,PRELIMINARY-Europe,Konigsberg,1950-BRAZIL,1950,True,215,89
85,Sweden,Ireland,5.0,0.0,Sweden,1937-01-01,PRELIMINARY-Europe,Hamburg,1950-BRAZIL,1950,True,215,118
86,Switzerland,Luxembourg,3.0,3.0,draw,1937-01-01,PRELIMINARY-Europe,Dublin,1950-BRAZIL,1950,True,216,140
87,Turkey,Syria,4.0,2.0,Turkey,1937-01-01,PRELIMINARY-Europe,Riga,1950-BRAZIL,1950,True,227,217
88,United States,Cuba,1.0,5.0,Cuba,1937-01-01,PRELIMINARY-Europe,Kaunas,1950-BRAZIL,1950,True,236,56
