home_team,away_team,home_result,away_result,date,round,city,edition
Bahrain (البحرين),South Korea (한국),0.0,0.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
Lebanon (لبنان),Hong Kong (香港),2.0,2.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
India (भारत),Hong Kong (香港),1.0,2.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
Lebanon (لبنان),South Korea (한국),0.0,1.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
Estonia (Eesti),Malta,0.0,1.0,1993-01-01,PRELIMINARY-Europe,Tallinn,1993
Bulgaria (България),Israel (ישראל),2.0,2.0,1993-01-01,PRELIMINARY-Europe,Sofija,1993
Finland (Suomi),Austria (Österreich),3.0,1.0,1993-01-01,PRELIMINARY-Europe,Turku,1993
Lebanon (لبنان),Bahrain (البحرين),0.0,0.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
India (भारत),South Korea (한국),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
Kuwait (الكويت),Malaysia (مليسيا),2.0,0.0,1993-01-01,PRELIMINARY-Asia,Riyadh,1993
Saudi Arabia (العربية السعودية),Macao (澳门),8.0,0.0,1993-01-01,PRELIMINARY-Asia,Riyadh,1993
Latvia (Latvija),Albania (Shqipëri),0.0,0.0,1993-01-01,PRELIMINARY-Europe,Rīga,1993
Hong Kong (香港),South Korea (한국),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
Bahrain (البحرين),India (भारत),2.0,1.0,1993-01-01,PRELIMINARY-Asia,Beirut,1993
Kuwait (الكويت),Macao (澳门),8.0,0.0,1993-01-01,PRELIMINARY-Asia,Riyadh,1993
Saudi Arabia (العربية السعودية),Malaysia (مليسيا),3.0,0.0,1993-01-01,PRELIMINARY-Asia,Riyadh,1993
Macao (澳门),Malaysia (مليسيا),0.0,5.0,1993-01-01,PRELIMINARY-Asia,Riyadh,1993
Saudi Arabia (العربية السعودية),Kuwait (الكويت),2.0,0.0,1993-01-01,PRELIMINARY-Asia,Riyadh,1993
Estonia (Eesti),Scotland,0.0,3.0,1993-01-01,PRELIMINARY-Europe,Tallinn,1993
San Marino,Poland (Polska),0.0,3.0,1993-01-01,PRELIMINARY-Europe,Serravalle,1993
Sweden (Sverige),Austria (Österreich),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Stockholm,1993
Luxembourg (Lëtzebuerg),Iceland (Ísland),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Luxembourg,1993
Belgium (België),Faroe Islands (Føroyar),3.0,0.0,1993-01-01,PRELIMINARY-Europe,Bruxelles,1993
Jordan (الأردن),Yemen (اليمن),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Pakistan (پاکستان),China (中国),0.0,5.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Russia (Россия),Greece (Ελλάδα),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Moskva,1993
Jordan (الأردن),Iraq (العراق),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Yemen (اليمن),Pakistan (پاکستان),5.0,1.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Lithuania (Lietuva),Northern Ireland (Ulster),0.0,1.0,1993-01-01,PRELIMINARY-Europe,Vilnius,1993
Albania (Shqipëri),Ireland (Éire),1.0,2.0,1993-01-01,PRELIMINARY-Europe,Tiranë,1993
Jordan (الأردن),China (中国),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Yemen (اليمن),Iraq (العراق),1.0,6.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Pakistan (پاکستان),Iraq (العراق),0.0,8.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Yemen (اليمن),China (中国),1.0,0.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Poland (Polska),England,1.0,1.0,1993-01-01,PRELIMINARY-Europe,Chorzów,1993
Jordan (الأردن),Pakistan (پاکستان),3.0,1.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
Iraq (العراق),China (中国),1.0,0.0,1993-01-01,PRELIMINARY-Asia,Irbid,1993
New Zealand (Aotearoa),Australia,0.0,1.0,1993-01-01,PRELIMINARY-Oceania,Auckland,1993
Scotland,Estonia (Eesti),3.0,1.0,1993-01-01,PRELIMINARY-Europe,Aberdeen,1993
Norway (Norge),England,2.0,0.0,1993-01-01,PRELIMINARY-Europe,Oslo,1993
Denmark (Danmark),Albania (Shqipëri),4.0,0.0,1993-01-01,PRELIMINARY-Europe,København,1993
Latvia (Latvija),Northern Ireland (Ulster),1.0,2.0,1993-01-01,PRELIMINARY-Europe,Rīga,1993
Lithuania (Lietuva),Spain (España),0.0,2.0,1993-01-01,PRELIMINARY-Europe,Vilnius,1993
Czechoslovakia (Československo),Romania (România),5.0,2.0,1993-01-01,PRELIMINARY-Europe,Košice,1993
Iceland (Ísland),Russia (Россия),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Reykjavík,1993
Sweden (Sverige),Israel (ישראל),5.0,0.0,1993-01-01,PRELIMINARY-Europe,Stockholm,1993
South Korea (한국),Hong Kong (香港),4.0,1.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Bahrain (البحرين),Lebanon (لبنان),0.0,0.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Faroe Islands (Føroyar),Wales (Cymru),0.0,3.0,1993-01-01,PRELIMINARY-Europe,Toftír,1993
Australia,New Zealand (Aotearoa),3.0,0.0,1993-01-01,PRELIMINARY-Oceania,Melbourne,1993
India (भारत),Bahrain (البحرين),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
South Korea (한국),Lebanon (لبنان),2.0,0.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Netherlands (Nederland),Norway (Norge),0.0,0.0,1993-01-01,PRELIMINARY-Europe,Rotterdam,1993
Latvia (Latvija),Ireland (Éire),0.0,2.0,1993-01-01,PRELIMINARY-Europe,Rīga,1993
Hong Kong (香港),Lebanon (لبنان),1.0,2.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
South Korea (한국),India (भारत),7.0,0.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
India (भारत),Lebanon (لبنان),1.0,2.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Bahrain (البحرين),Hong Kong (香港),3.0,0.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Yemen (اليمن),Jordan (الأردن),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
China (中国),Pakistan (پاکستان),3.0,0.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
South Korea (한국),Bahrain (البحرين),3.0,0.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Hong Kong (香港),India (भारत),1.0,3.0,1993-01-01,PRELIMINARY-Asia,Seoul,1993
Iraq (العراق),Jordan (الأردن),4.0,0.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
Pakistan (پاکستان),Yemen (اليمن),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
Lithuania (Lietuva),Ireland (Éire),0.0,1.0,1993-01-01,PRELIMINARY-Europe,Vilnius,1993
Faroe Islands (Føroyar),Czechoslovakia (Československo),0.0,3.0,1993-01-01,PRELIMINARY-Europe,Toftír,1993
Iceland (Ísland),Hungary (Magyarország),2.0,0.0,1993-01-01,PRELIMINARY-Europe,Reykjavík,1993
Finland (Suomi),Israel (ישראל),0.0,0.0,1993-01-01,PRELIMINARY-Europe,Lahti,1993
China (中国),Jordan (الأردن),4.0,1.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
Iraq (العراق),Yemen (اليمن),3.0,0.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
Iraq (العراق),Pakistan (پاکستان),4.0,0.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
China (中国),Yemen (اليمن),1.0,0.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
Portugal,Malta,4.0,0.0,1993-01-01,PRELIMINARY-Europe,Porto,1993
Pakistan (پاکستان),Jordan (الأردن),0.0,5.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
China (中国),Iraq (العراق),2.0,1.0,1993-01-01,PRELIMINARY-Asia,Chengdu,1993
Iran (ایران),Oman (عمان),0.0,0.0,1993-01-01,PRELIMINARY-Asia,Tehran,1993
Taiwan (台湾),Syria (سوريا),0.0,2.0,1993-01-01,PRELIMINARY-Asia,Tehran,1993
Oman (عمان),Syria (سوريا),0.0,0.0,1993-01-01,PRELIMINARY-Asia,Tehran,1993
Iran (ایران),Taiwan (台湾),6.0,0.0,1993-01-01,PRELIMINARY-Asia,Tehran,1993
Oman (عمان),Taiwan (台湾),2.0,1.0,1993-01-01,PRELIMINARY-Asia,Tehran,1993
Iran (ایران),Syria (سوريا),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Tehran,1993
Oman (عمان),Iran (ایران),0.0,1.0,1993-01-01,PRELIMINARY-Asia,Damascus,1993
Syria (سوريا),Taiwan (台湾),8.0,1.0,1993-01-01,PRELIMINARY-Asia,Damascus,1993
Nigeria,Algeria (الجزائر),4.0,1.0,1993-01-01,PRELIMINARY-Africa,Lagos,1993
Zambia,Morocco (المغرب),2.0,1.0,1993-01-01,PRELIMINARY-Africa,Lusaka,1993
Zimbabwe,Cameroon (Cameroun),1.0,0.0,1993-01-01,PRELIMINARY-Africa,Harare,1993
Syria (سوريا),Oman (عمان),2.0,1.0,1993-01-01,PRELIMINARY-Asia,Damascus,1993
Taiwan (台湾),Iran (ایران),0.0,6.0,1993-01-01,PRELIMINARY-Asia,Damascus,1993
Taiwan (台湾),Oman (عمان),1.0,7.0,1993-01-01,PRELIMINARY-Asia,Damascus,1993
Syria (سوريا),Iran (ایران),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Damascus,1993
Senegal (Sénégal),Morocco (المغرب),1.0,3.0,1993-01-01,PRELIMINARY-Africa,Dakar,1993
Ecuador,Brazil (Brasil),0.0,0.0,1993-01-01,PRELIMINARY-S.America,Guayaquil,1993
Venezuela,Bolivia,1.0,7.0,1993-01-01,PRELIMINARY-S.America,Puerto_Ordaz,1993
Ivory Coast (Côte d'Ivoire),Algeria (الجزائر),1.0,0.0,1993-01-01,PRELIMINARY-Africa,Abidjan,1993
Guinea (Guinée),Cameroon (Cameroun),0.0,1.0,1993-01-01,PRELIMINARY-Africa,Conakry,1993
Bolivia,Brazil (Brasil),2.0,0.0,1993-01-01,PRELIMINARY-S.America,La_Paz,1993
Venezuela,Uruguay,0.0,1.0,1993-01-01,PRELIMINARY-S.America,San_Cristóbal,1993
Canada,Australia,2.0,1.0,1993-01-01,PRELIMINARY-Oceania,Edmonton,1993
Colombia,Paraguay,0.0,0.0,1993-01-01,PRELIMINARY-S.America,Barranquilla,1993
Peru (Perú),Argentina,0.0,1.0,1993-01-01,PRELIMINARY-S.America,Lima,1993
Venezuela,Brazil (Brasil),1.0,5.0,1993-01-01,PRELIMINARY-S.America,San_Cristóbal,1993
Uruguay,Ecuador,0.0,0.0,1993-01-01,PRELIMINARY-S.America,Montevideo,1993
Senegal (Sénégal),Zambia,0.0,0.0,1993-01-01,PRELIMINARY-Africa,Dakar,1993
Paraguay,Argentina,1.0,3.0,1993-01-01,PRELIMINARY-S.America,Asunción,1993
Peru (Perú),Colombia,0.0,1.0,1993-01-01,PRELIMINARY-S.America,Lima,1993
Ecuador,Venezuela,5.0,0.0,1993-01-01,PRELIMINARY-S.America,Quito,1993
Bolivia,Uruguay,3.0,1.0,1993-01-01,PRELIMINARY-S.America,La_Paz,1993
Paraguay,Peru (Perú),2.0,1.0,1993-01-01,PRELIMINARY-S.America,Asunción,1993
Colombia,Argentina,2.0,1.0,1993-01-01,PRELIMINARY-S.America,Barranquilla,1993
Bolivia,Ecuador,1.0,0.0,1993-01-01,PRELIMINARY-S.America,La_Paz,1993
Uruguay,Brazil (Brasil),1.0,1.0,1993-01-01,PRELIMINARY-S.America,Montevideo,1993
Australia,Canada,2.0,1.0,1993-01-01,PRELIMINARY-Oceania,Sydney,1993
Sweden (Sverige),France,1.0,1.0,1993-01-01,PRELIMINARY-Europe,Stockholm,1993
Argentina,Peru (Perú),2.0,1.0,1993-01-01,PRELIMINARY-S.America,Buenos Aires,1993
Paraguay,Colombia,1.0,1.0,1993-01-01,PRELIMINARY-S.America,Asunción,1993
Bolivia,Venezuela,7.0,0.0,1993-01-01,PRELIMINARY-S.America,La_Paz,1993
Brazil (Brasil),Ecuador,2.0,0.0,1993-01-01,PRELIMINARY-S.America,São_Paulo,1993
Denmark (Danmark),Lithuania (Lietuva),4.0,0.0,1993-01-01,PRELIMINARY-Europe,København,1993
Austria (Österreich),Finland (Suomi),3.0,0.0,1993-01-01,PRELIMINARY-Europe,Wien,1993
Argentina,Paraguay,0.0,0.0,1993-01-01,PRELIMINARY-S.America,Buenos Aires,1993
Colombia,Peru (Perú),4.0,0.0,1993-01-01,PRELIMINARY-S.America,Barranquilla,1993
Uruguay,Venezuela,4.0,0.0,1993-01-01,PRELIMINARY-S.America,Montevideo,1993
Brazil (Brasil),Bolivia,6.0,0.0,1993-01-01,PRELIMINARY-S.America,Recife,1993
Estonia (Eesti),Portugal,0.0,2.0,1993-01-01,PRELIMINARY-Europe,Tallinn,1993
Peru (Perú),Paraguay,2.0,2.0,1993-01-01,PRELIMINARY-S.America,Lima,1993
Argentina,Colombia,0.0,5.0,1993-01-01,PRELIMINARY-S.America,Buenos Aires,1993
Brazil (Brasil),Venezuela,4.0,0.0,1993-01-01,PRELIMINARY-S.America,Belo Horizonte,1993
Ecuador,Uruguay,0.0,1.0,1993-01-01,PRELIMINARY-S.America,Guayaquil,1993
Scotland,Switzerland (Schweiz / Suisse),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Aberdeen,1993
England,Poland (Polska),3.0,0.0,1993-01-01,PRELIMINARY-Europe,London,1993
Albania (Shqipëri),Denmark (Danmark),0.0,1.0,1993-01-01,PRELIMINARY-Europe,Tiranë,1993
Ireland (Éire),Lithuania (Lietuva),2.0,0.0,1993-01-01,PRELIMINARY-Europe,Dublin,1993
Northern Ireland (Ulster),Latvia (Latvija),2.0,0.0,1993-01-01,PRELIMINARY-Europe,Belfast,1993
Wales (Cymru),Czechoslovakia (Československo),2.0,2.0,1993-01-01,PRELIMINARY-Europe,Cardiff,1993
Faroe Islands (Føroyar),Romania (România),0.0,4.0,1993-01-01,PRELIMINARY-Europe,Toftír,1993
Hungary (Magyarország),Russia (Россия),1.0,3.0,1993-01-01,PRELIMINARY-Europe,Budapest,1993
Iceland (Ísland),Luxembourg (Lëtzebuerg),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Reykjavík,1993
Finland (Suomi),France,0.0,2.0,1993-01-01,PRELIMINARY-Europe,Tampere,1993
Bulgaria (България),Sweden (Sverige),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Sofija,1993
Uruguay,Bolivia,2.0,1.0,1993-01-01,PRELIMINARY-S.America,Montevideo,1993
Venezuela,Ecuador,2.0,1.0,1993-01-01,PRELIMINARY-S.America,Ciudad Guayana,1993
Ecuador,Bolivia,1.0,1.0,1993-01-01,PRELIMINARY-S.America,Guayaquil,1993
Brazil (Brasil),Uruguay,2.0,0.0,1993-01-01,PRELIMINARY-S.America,Rio de Janeiro,1993
Estonia (Eesti),Italy (Italia),0.0,3.0,1993-01-01,PRELIMINARY-Europe,Tallinn,1993
Norway (Norge),Poland (Polska),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Oslo,1993
San Marino,Netherlands (Nederland),0.0,7.0,1993-01-01,PRELIMINARY-Europe,Bologna,1993
Albania (Shqipëri),Spain (España),1.0,5.0,1993-01-01,PRELIMINARY-Europe,Tiranë,1993
Nigeria,Ivory Coast (Côte d'Ivoire),4.0,1.0,1993-01-01,PRELIMINARY-Africa,Lagos,1993
Zambia,Senegal (Sénégal),4.0,0.0,1993-01-01,PRELIMINARY-Africa,Lusaka,1993
Zimbabwe,Guinea (Guinée),1.0,0.0,1993-01-01,PRELIMINARY-Africa,Harare,1993
Algeria (الجزائر),Nigeria,1.0,1.0,1993-01-01,PRELIMINARY-Africa,Algiers,1993
Morocco (المغرب),Zambia,1.0,0.0,1993-01-01,PRELIMINARY-Africa,Casablanca,1993
Cameroon (Cameroun),Zimbabwe,3.0,1.0,1993-01-01,PRELIMINARY-Africa,Yaoundé,1993
Luxembourg (Lëtzebuerg),Greece (Ελλάδα),1.0,3.0,1993-01-01,PRELIMINARY-Europe,Luxembourg,1993
Portugal,Switzerland (Schweiz / Suisse),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Porto,1993
Italy (Italia),Scotland,3.0,1.0,1993-01-01,PRELIMINARY-Europe,Roma,1993
Netherlands (Nederland),England,2.0,0.0,1993-01-01,PRELIMINARY-Europe,Rotterdam,1993
Poland (Polska),Norway (Norge),0.0,3.0,1993-01-01,PRELIMINARY-Europe,Poznań,1993
Denmark (Danmark),Northern Ireland (Ulster),1.0,0.0,1993-01-01,PRELIMINARY-Europe,København,1993
Ireland (Éire),Spain (España),1.0,3.0,1993-01-01,PRELIMINARY-Europe,Dublin,1993
Romania (România),Belgium (België),2.0,1.0,1993-01-01,PRELIMINARY-Europe,Bucureşti,1993
Wales (Cymru),Cyprus (Κύπρος),2.0,0.0,1993-01-01,PRELIMINARY-Europe,Cardiff,1993
Bulgaria (България),Austria (Österreich),4.0,1.0,1993-01-01,PRELIMINARY-Europe,Sofija,1993
France,Israel (ישראל),2.0,3.0,1993-01-01,PRELIMINARY-Europe,Paris,1993
Sweden (Sverige),Finland (Suomi),3.0,2.0,1993-01-01,PRELIMINARY-Europe,Stockholm,1993
North Korea (조선),Iraq (العراق),3.0,2.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Saudi Arabia (العربية السعودية),Japan (日本),0.0,0.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Iran (ایران),South Korea (한국),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
North Korea (조선),Saudi Arabia (العربية السعودية),1.0,2.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Japan (日本),Iran (ایران),1.0,2.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Iraq (العراق),South Korea (한국),2.0,2.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
North Korea (조선),Japan (日本),0.0,3.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Iran (ایران),Iraq (العراق),1.0,2.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
South Korea (한국),Saudi Arabia (العربية السعودية),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Iraq (العراق),Saudi Arabia (العربية السعودية),1.0,1.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Japan (日本),South Korea (한국),1.0,0.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Iran (ایران),North Korea (조선),2.0,1.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Turkey (Türkiye),Poland (Polska),2.0,1.0,1993-01-01,PRELIMINARY-Europe,İstanbul,1993
Czechoslovakia (Československo),Cyprus (Κύπρος),3.0,0.0,1993-01-01,PRELIMINARY-Europe,Košice,1993
Hungary (Magyarország),Luxembourg (Lëtzebuerg),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Budapest,1993
Israel (ישראל),Austria (Österreich),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Tel Aviv,1993
South Korea (한국),North Korea (조선),3.0,0.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Saudi Arabia (العربية السعودية),Iran (ایران),4.0,3.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Iraq (العراق),Japan (日本),2.0,2.0,1993-01-01,PRELIMINARY-Asia,Doha,1993
Australia,Argentina,1.0,1.0,1993-01-01,PRELIMINARY-S.America,Sydney,1993
Portugal,Estonia (Eesti),3.0,0.0,1993-01-01,PRELIMINARY-Europe,Porto,1993
Turkey (Türkiye),Norway (Norge),2.0,1.0,1993-01-01,PRELIMINARY-Europe,İstanbul,1993
Austria (Österreich),Sweden (Sverige),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Wien,1993
Israel (ישראל),Finland (Suomi),1.0,3.0,1993-01-01,PRELIMINARY-Europe,Tel Aviv,1993
Italy (Italia),Portugal,1.0,0.0,1993-01-01,PRELIMINARY-Europe,Milano,1993
Malta,Scotland,0.0,2.0,1993-01-01,PRELIMINARY-Europe,Valletta,1993
Switzerland (Schweiz / Suisse),Estonia (Eesti),4.0,0.0,1993-01-01,PRELIMINARY-Europe,Zürich,1993
San Marino,England,1.0,7.0,1993-01-01,PRELIMINARY-Europe,Bologna,1993
Poland (Polska),Netherlands (Nederland),1.0,3.0,1993-01-01,PRELIMINARY-Europe,Poznań,1993
Northern Ireland (Ulster),Ireland (Éire),1.0,1.0,1993-01-01,PRELIMINARY-Europe,Belfast,1993
Spain (España),Denmark (Danmark),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Sevilla,1993
Wales (Cymru),Romania (România),1.0,2.0,1993-01-01,PRELIMINARY-Europe,Cardiff,1993
Belgium (België),Czechoslovakia (Československo),0.0,0.0,1993-01-01,PRELIMINARY-Europe,Bruxelles,1993
Greece (Ελλάδα),Russia (Россия),1.0,0.0,1993-01-01,PRELIMINARY-Europe,Athína,1993
France,Bulgaria (България),1.0,2.0,1993-01-01,PRELIMINARY-Europe,Paris,1993
Argentina,Australia,1.0,0.0,1993-01-01,PRELIMINARY-S.America,Buenos Aires,1993
Germany (Deutschland),Bolivia,1.0,0.0,1994-01-01,GROUP_STAGE,Chicago,1994
Spain (España),South Korea (한국),2.0,2.0,1994-01-01,GROUP_STAGE,Dallas,1994
Italy (Italia),Ireland (Éire),0.0,1.0,1994-01-01,GROUP_STAGE,New_York,1994
Colombia,Romania (România),1.0,3.0,1994-01-01,GROUP_STAGE,Los Angeles,1994
USA,Switzerland (Schweiz / Suisse),1.0,1.0,1994-01-01,GROUP_STAGE,Detroit,1994
Belgium (België),Morocco (المغرب),1.0,0.0,1994-01-01,GROUP_STAGE,Orlando,1994
Norway (Norge),Mexico (México),1.0,0.0,1994-01-01,GROUP_STAGE,Washington,1994
Cameroon (Cameroun),Sweden (Sverige),2.0,2.0,1994-01-01,GROUP_STAGE,Los Angeles,1994
Netherlands (Nederland),Saudi Arabia (العربية السعودية),2.0,1.0,1994-01-01,GROUP_STAGE,Washington,1994
Brazil (Brasil),Russia (Россия),2.0,0.0,1994-01-01,GROUP_STAGE,San_Francisco,1994
Argentina,Greece (Ελλάδα),4.0,0.0,1994-01-01,GROUP_STAGE,Boston,1994
Germany (Deutschland),Spain (España),1.0,1.0,1994-01-01,GROUP_STAGE,Chicago,1994
Nigeria,Bulgaria (България),3.0,0.0,1994-01-01,GROUP_STAGE,Dallas,1994
Romania (România),Switzerland (Schweiz / Suisse),1.0,4.0,1994-01-01,GROUP_STAGE,Detroit,1994
USA,Colombia,2.0,1.0,1994-01-01,GROUP_STAGE,Los Angeles,1994
Italy (Italia),Norway (Norge),1.0,0.0,1994-01-01,GROUP_STAGE,New_York,1994
South Korea (한국),Bolivia,0.0,0.0,1994-01-01,GROUP_STAGE,Boston,1994
Mexico (México),Ireland (Éire),2.0,1.0,1994-01-01,GROUP_STAGE,Orlando,1994
Brazil (Brasil),Cameroon (Cameroun),3.0,0.0,1994-01-01,GROUP_STAGE,San_Francisco,1994
Sweden (Sverige),Russia (Россия),3.0,1.0,1994-01-01,GROUP_STAGE,Detroit,1994
Saudi Arabia (العربية السعودية),Morocco (المغرب),2.0,1.0,1994-01-01,GROUP_STAGE,New_York,1994
Belgium (België),Netherlands (Nederland),1.0,0.0,1994-01-01,GROUP_STAGE,Orlando,1994
Argentina,Nigeria,2.0,1.0,1994-01-01,GROUP_STAGE,Boston,1994
Bulgaria (България),Greece (Ελλάδα),4.0,0.0,1994-01-01,GROUP_STAGE,Chicago,1994
Switzerland (Schweiz / Suisse),Colombia,0.0,2.0,1994-01-01,GROUP_STAGE,San_Francisco,1994
USA,Romania (România),0.0,1.0,1994-01-01,GROUP_STAGE,Los Angeles,1994
Bolivia,Spain (España),1.0,3.0,1994-01-01,GROUP_STAGE,Chicago,1994
Germany (Deutschland),South Korea (한국),3.0,2.0,1994-01-01,GROUP_STAGE,Dallas,1994
Italy (Italia),Mexico (México),1.0,1.0,1994-01-01,GROUP_STAGE,Washington,1994
Ireland (Éire),Norway (Norge),0.0,0.0,1994-01-01,GROUP_STAGE,New_York,1994
Russia (Россия),Cameroon (Cameroun),6.0,1.0,1994-01-01,GROUP_STAGE,San_Francisco,1994
Brazil (Brasil),Sweden (Sverige),1.0,1.0,1994-01-01,GROUP_STAGE,Detroit,1994
Belgium (België),Saudi Arabia (العربية السعودية),0.0,1.0,1994-01-01,GROUP_STAGE,Washington,1994
Morocco (المغرب),Netherlands (Nederland),1.0,2.0,1994-01-01,GROUP_STAGE,Orlando,1994
Argentina,Bulgaria (България),0.0,2.0,1994-01-01,GROUP_STAGE,Dallas,1994
Greece (Ελλάδα),Nigeria,0.0,2.0,1994-01-01,GROUP_STAGE,Boston,1994
Germany (Deutschland),Belgium (België),3.0,2.0,1994-01-01,1/8_FINAL,Chicago,1994
Spain (España),Switzerland (Schweiz / Suisse),3.0,0.0,1994-01-01,1/8_FINAL,Washington,1994
Saudi Arabia (العربية السعودية),Sweden (Sverige),1.0,3.0,1994-01-01,1/8_FINAL,Dallas,1994
Romania (România),Argentina,3.0,2.0,1994-01-01,1/8_FINAL,Los Angeles,1994
Netherlands (Nederland),Ireland (Éire),2.0,0.0,1994-01-01,1/8_FINAL,Orlando,1994
Brazil (Brasil),USA,1.0,0.0,1994-01-01,1/8_FINAL,San_Francisco,1994
Nigeria,Italy (Italia),1.0,2.0,1994-01-01,1/8_FINAL,Boston,1994
Mexico (México),Bulgaria (България),1.0,1.0,1994-01-01,1/8_FINAL,New_York,1994
Italy (Italia),Spain (España),2.0,1.0,1994-01-01,1/4_FINAL,Boston,1994
Netherlands (Nederland),Brazil (Brasil),2.0,3.0,1994-01-01,1/4_FINAL,Dallas,1994
Bulgaria (България),Germany (Deutschland),2.0,1.0,1994-01-01,1/4_FINAL,New_York,1994
Romania (România),Sweden (Sverige),2.0,2.0,1994-01-01,1/4_FINAL,San_Francisco,1994
Bulgaria (България),Italy (Italia),1.0,2.0,1994-01-01,1/2_FINAL,New_York,1994
Sweden (Sverige),Brazil (Brasil),0.0,1.0,1994-01-01,1/2_FINAL,Los Angeles,1994
Sweden (Sverige),Bulgaria (България),4.0,0.0,1994-01-01,PLACES_3&4,Los Angeles,1994
Brazil (Brasil),Italy (Italia),0.0,0.0,1994-01-01,_FINAL,Los Angeles,1994
Dominica,Antigua and Barbuda,3.0,3.0,1996-01-01,PRELIMINARY-N/C.America,Roseau,1996
Dominican Republic (República Dominicana),Aruba,3.0,2.0,1996-01-01,PRELIMINARY-N/C.America,Santo Domingo,1996
Guyana,Grenada,1.0,2.0,1996-01-01,PRELIMINARY-N/C.America,Georgetown,1996
Antigua and Barbuda,Dominica,1.0,3.0,1996-01-01,PRELIMINARY-N/C.America,St._Johns,1996
Aruba,Dominican Republic (República Dominicana),1.0,3.0,1996-01-01,PRELIMINARY-N/C.America,Oranjestad,1996
Surinam (Suriname),Jamaica,0.0,1.0,1996-01-01,PRELIMINARY-N/C.America,Paramaribo,1996
Grenada,Guayana,6.0,0.0,1996-01-01,PRELIMINARY-N/C.America,St._Georges,1996
Jamaica,Surinam (Suriname),1.0,0.0,1996-01-01,PRELIMINARY-N/C.America,Kingston,1996
Yugoslavia (Југославија),Faroe Islands (Føroyar),3.0,1.0,1996-01-01,PRELIMINARY-Europe,Beograd,1996
