home_team,away_team,home_result,away_result,date,round,city,edition
Finland (Suomi),Ireland (Éire),1.0,1.0,1949-01-01,PRELIMINARY-Europe,Helsinki,1949
Wales (Cymru),England,1.0,4.0,1949-01-01,PRELIMINARY-Europe,Cardiff,1949
France,Yugoslavia (Југославија),1.0,1.0,1949-01-01,PRELIMINARY-Eur./N.E.,Paris,1949
Scotland,Wales (Cymru),2.0,0.0,1949-01-01,PRELIMINARY-Europe,Glasgow,1949
Ireland (Éire),Sweden (Sverige),1.0,3.0,1949-01-01,PRELIMINARY-Europe,Dublin,1949
England,Northern Ireland (Ulster),9.0,2.0,1949-01-01,PRELIMINARY-Europe,Manchester,1949
Turkey (Türkiye),Syria (سوريا),7.0,0.0,1949-01-01,PRELIMINARY-Eur./N.E.,Ankara,1949
Yugoslavia (Југославија),France,3.0,2.0,1949-01-01,PRELIMINARY-Eur./N.E.,Firenze,1949
Bolivia,Chile,2.0,0.0,1950-01-01,PRELIMINARY-S.America,La_Paz,1950
Wales (Cymru),Northern Ireland (Ulster),0.0,0.0,1950-01-01,PRELIMINARY-Europe,Wrexham,1950
Spain (España),Portugal,5.0,1.0,1950-01-01,PRELIMINARY-Europe,Madrid,1950
Portugal,Spain (España),2.0,2.0,1950-01-01,PRELIMINARY-Europe,Lisboa,1950
Scotland,England,0.0,1.0,1950-01-01,PRELIMINARY-Europe,Glasgow,1950
Brazil (Brasil),Mexico (México),4.0,0.0,1950-01-01,GROUP_STAGE,Rio de Janeiro,1950
England,Chile,2.0,0.0,1950-01-01,GROUP_STAGE,Rio de Janeiro,1950
Spain (España),USA,3.0,1.0,1950-01-01,GROUP_STAGE,Curitiba,1950
Sweden (Sverige),Italy (Italia),3.0,2.0,1950-01-01,GROUP_STAGE,São_Paulo,1950
Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),3.0,0.0,1950-01-01,GROUP_STAGE,Belo Horizonte,1950
Brazil (Brasil),Switzerland (Schweiz / Suisse),2.0,2.0,1950-01-01,GROUP_STAGE,São_Paulo,1950
Yugoslavia (Југославија),Mexico (México),4.0,1.0,1950-01-01,GROUP_STAGE,Porto_Alegre,1950
Spain (España),Chile,2.0,0.0,1950-01-01,GROUP_STAGE,Rio de Janeiro,1950
Sweden (Sverige),Paraguay,2.0,2.0,1950-01-01,GROUP_STAGE,Curitiba,1950
USA,England,1.0,0.0,1950-01-01,GROUP_STAGE,Belo Horizonte,1950
Brazil (Brasil),Yugoslavia (Југославија),2.0,0.0,1950-01-01,GROUP_STAGE,Rio de Janeiro,1950
Spain (España),England,1.0,0.0,1950-01-01,GROUP_STAGE,Rio de Janeiro,1950
Italy (Italia),Paraguay,2.0,0.0,1950-01-01,GROUP_STAGE,São_Paulo,1950
Uruguay,Bolivia,8.0,0.0,1950-01-01,GROUP_STAGE,Belo Horizonte,1950
Switzerland (Schweiz / Suisse),Mexico (México),2.0,1.0,1950-01-01,GROUP_STAGE,Porto_Alegre,1950
Chile,USA,5.0,2.0,1950-01-01,GROUP_STAGE,Recife,1950
Brazil (Brasil),Sweden (Sverige),7.0,1.0,1950-01-01,FINAL_ROUND,Rio de Janeiro,1950
Uruguay,Spain (España),2.0,2.0,1950-01-01,FINAL_ROUND,São_Paulo,1950
Uruguay,Sweden (Sverige),3.0,2.0,1950-01-01,FINAL_ROUND,São_Paulo,1950
Brazil (Brasil),Spain (España),6.0,1.0,1950-01-01,FINAL_ROUND,Rio de Janeiro,1950
Sweden (Sverige),Spain (España),3.0,1.0,1950-01-01,FINAL_ROUND,São_Paulo,1950
Uruguay,Brazil (Brasil),2.0,1.0,1950-01-01,FINAL_ROUND,Rio de Janeiro,1950
Yugoslavia (Југославија),Greece (Ελλάδα),1.0,0.0,1953-01-01,PRELIMINARY-Eur./N.E.,Beograd,1953
Finland (Suomi),Belgium (België),2.0,4.0,1953-01-01,PRELIMINARY-Europe,Helsinki,1953
Sweden (Sverige),Belgium (België),2.0,3.0,1953-01-01,PRELIMINARY-Europe,Stockholm,1953
Czechoslovakia (Československo),Romania (România),2.0,0.0,1953-01-01,PRELIMINARY-Europe,Praha,1953
Norway (Norge),Saarland,2.0,3.0,1953-01-01,PRELIMINARY-Europe,Oslo,1953
Romania (România),Bulgaria (България),3.0,1.0,1953-01-01,PRELIMINARY-Europe,Bucureşti,1953
Mexico (México),Haiti (Haïti),8.0,0.0,1953-01-01,PRELIMINARY-N/C.America,México D.F,1953
Finland (Suomi),Sweden (Sverige),3.0,3.0,1953-01-01,PRELIMINARY-Europe,Helsinki,1953
Sweden (Sverige),Finland (Suomi),4.0,0.0,1953-01-01,PRELIMINARY-Europe,Stockholm,1953
Norway (Norge),FRG (BRD / Westdeutschland),1.0,1.0,1953-01-01,PRELIMINARY-Europe,Oslo,1953
Bulgaria (България),Czechoslovakia (Československo),1.0,2.0,1953-01-01,PRELIMINARY-Europe,Sofija,1953
Luxembourg (Lëtzebuerg),France,1.0,6.0,1953-01-01,PRELIMINARY-Europe,Luxembourg,1953
Belgium (België),Finland (Suomi),2.0,2.0,1953-01-01,PRELIMINARY-Europe,Bruxelles,1953
Austria (Österreich),Portugal,9.0,1.0,1953-01-01,PRELIMINARY-Europe,Wien,1953
Northern Ireland (Ulster),Scotland,1.0,3.0,1953-01-01,PRELIMINARY-Europe,Belfast,1953
Ireland (Éire),France,3.0,5.0,1953-01-01,PRELIMINARY-Europe,Dublin,1953
Belgium (België),Sweden (Sverige),2.0,0.0,1953-01-01,PRELIMINARY-Europe,Bruxelles,1953
Wales (Cymru),England,1.0,4.0,1953-01-01,PRELIMINARY-Europe,Cardiff,1953
FRG (BRD / Westdeutschland),Saarland,3.0,0.0,1953-01-01,PRELIMINARY-Europe,Stuttgart,1953
Bulgaria (България),Romania (România),1.0,2.0,1953-01-01,PRELIMINARY-Europe,Sofija,1953
Romania (România),Czechoslovakia (Československo),0.0,1.0,1953-01-01,PRELIMINARY-Europe,Bucureşti,1953
Ireland (Éire),Luxembourg (Lëtzebuerg),4.0,0.0,1953-01-01,PRELIMINARY-Europe,Dublin,1953
Greece (Ελλάδα),Israel (ישראל),1.0,0.0,1953-01-01,PRELIMINARY-Eur./N.E.,Athína,1953
Scotland,Wales (Cymru),3.0,3.0,1953-01-01,PRELIMINARY-Europe,Glasgow,1953
Saarland,Norway (Norge),0.0,0.0,1953-01-01,PRELIMINARY-Europe,Saarbrücken,1953
Czechoslovakia (Československo),Bulgaria (България),0.0,0.0,1953-01-01,PRELIMINARY-Europe,Bratislava,1953
Yugoslavia (Југославија),Israel (ישראל),1.0,0.0,1953-01-01,PRELIMINARY-Eur./N.E.,Skopje,1953
England,Northern Ireland (Ulster),3.0,1.0,1953-01-01,PRELIMINARY-Europe,Liverpool,1953
Egypt (مصر),Italy (Italia),1.0,2.0,1953-01-01,PRELIMINARY-Eu./Afr.,Cairo,1953
FRG (BRD / Westdeutschland),Norway (Norge),5.0,1.0,1953-01-01,PRELIMINARY-Europe,Hamburg,1953
France,Ireland (Éire),1.0,0.0,1953-01-01,PRELIMINARY-Europe,Paris,1953
Portugal,Austria (Österreich),0.0,0.0,1953-01-01,PRELIMINARY-Europe,Lisboa,1953
