id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,is_final
1524,France,USSR,1,1,draw,1986-06-05,Group,Leon,1986,True
1525,Italy,Argentina,1,1,draw,1986-06-05,Group,Puebla,1986,True
1526,Brazil,Algeria,1,0,Brazil,1986-06-06,Group,Guadalajara,1986,True
1527,England,Morocco,0,0,draw,1986-06-06,Group,Monterrey,1986,True
1528,Hungary,Canada,2,0,Hungary,1986-06-06,Group,Irapuato,1986,True
1529,Mexico,Paraguay,1,1,draw,1986-06-07,Group,Mexico D.F,1986,True
1530,Northern Ireland,Spain,1,2,Spain,1986-06-07,Group,Guadalajara,1986,True
1531,Poland,Portugal,1,0,Poland,1986-06-07,Group,Monterrey,1986,True
1532,Denmark,Uruguay,6,1,Denmark,1986-06-08,Group,Nezahualcoyotl,1986,True
1533,Iraq,Belgium,1,2,Belgium,1986-06-08,Group,Toluca,1986,True
1534,Hungary,France,0,3,France,1986-06-09,Group,Leon,1986,True
1535,USSR,Canada,2,0,USSR,1986-06-09,Group,Irapuato,1986,True
1536,Argentina,Bulgaria,2,0,Argentina,1986-06-10,Group,Mexico D.F,1986,True
1537,England,Poland,3,0,England,1986-06-11,Group,Monterrey,1986,True
1538,Iraq,Mexico,0,1,Mexico,1986-06-11,Group,Mexico D.F,1986,True
1539,Paraguay,Belgium,2,2,draw,1986-06-11,Group,Toluca,1986,True
1540,Portugal,Morocco,1,3,Morocco,1986-06-11,Group,Guadalajara,1986,True
1541,Algeria,Spain,0,3,Spain,1986-06-12,Group,Monterrey,1986,True
1542,Northern Ireland,Brazil,0,3,Brazil,1986-06-12,Group,Guadalajara,1986,True
1543,Scotland,Uruguay,0,0,draw,1986-06-13,Group,Nezahualcoyotl,1986,True
1544,Mexico,Bulgaria,2,0,Mexico,1986-06-15,Round of 16,Mexico D.F,1986,True
1545,USSR,Belgium,3,4,Belgium,1986-06-15,Round of 16,Leon,1986,True
1546,Argentina,Uruguay,1,0,Argentina,1986-06-16,Round of 16,Puebla,1986,True
1547,Brazil,Poland,4,0,Brazil,1986-06-16,Round of 16,Guadalajara,1986,True
1548,Italy,France,0,2,France,1986-06-17,Round of 16,Mexico D.F,1986,True
1549,Denmark,Spain,1,5,Spain,1986-06-18,Round of 16,Queretaro,1986,True
1550,England,Paraguay,3,0,England,1986-06-18,Round of 16,Mexico D.F,1986,True
1551,Brazil,France,1,1,draw,1986-06-21,Quarter-finals,Guadalajara,1986,True
1552,Argentina,England,2,1,Argentina,1986-06-22,Quarter-finals,Mexico D.F,1986,True
1553,Spain,Belgium,1,1,draw,1986-06-22,Quarter-finals,Puebla,1986,True
1554,Argentina,Belgium,2,0,Argentina,1986-06-25,Semi-finals,Mexico D.F,1986,True
1555,France,Belgium,4,2,France,1986-06-28,Match for third place,Puebla,1986,True
1556,Taiwan,New Zealand,3,1,Taiwan,,Final,Madrid,1986,True
1557,Peru,Argentina,1,2,Argentina,,Group,Gijon,1986,True
1558,Peru,Colombia,4,1,Peru,,Group,Gijon,1986,True
1559,Portugal,FRG,1,0,Portugal,,Group,Gijon,1986,True
1560,Albania,Belgium,1,1,draw,,Preliminary round,Maseru,1986,False
1561,Albania,Greece,1,2,Greece,,Preliminary round,La_Paz,1986,False
1562,Albania,Poland,3,0,Albania,,Preliminary round,La_Paz,1986,False
1563,Algeria,Angola,3,1,Algeria,,Preliminary round,Rio de Janeiro,1986,False
1564,Algeria,Tunisia,5,0,Algeria,,Preliminary round,Goiania,1986,False
1565,Algeria,Zambia,0,0,draw,,Preliminary round,Sofija,1986,False
1566,Angola,Algeria,4,0,Angola,,Preliminary round,Sofija,1986,False
1567,Angola,Senegal,0,0,draw,,Preliminary round,Monrovia,1986,False
1568,Antigua and Barbuda,Haiti,2,1,Antigua and Barbuda,,Preliminary round,Tripoli,1986,False
1569,Argentina,Colombia,2,1,Argentina,,Preliminary round,Yaounde,1986,False
1570,Argentina,FRG,0,4,FRG,,Preliminary round,Luxembourg,1986,False
1571,Argentina,Peru,6,1,Argentina,,Preliminary round,Yaounde,1986,False
1572,Argentina,South Korea,1,1,draw,,Preliminary round,Georgetown,1986,False
1573,Argentina,Venezuela,1,0,Argentina,,Preliminary round,Tegucigalpa,1986,False
1574,Australia,Israel,1,1,draw,,Preliminary round,Tegucigalpa,1986,False
1575,Australia,New Zealand,2,0,Australia,,Preliminary round,Santiago,1986,False
1576,Australia,Scotland,3,0,Australia,,Preliminary round,Santiago,1986,False
1577,Australia,Taiwan,3,0,Australia,,Preliminary round,Beijing,1986,False
1578,Austria,Cyprus,0,0,draw,,Preliminary round,Beijing,1986,False
1579,Austria,Hungary,2,0,Austria,,Preliminary round,Kuala Lumpur,1986,False
1580,Austria,Netherlands,0,2,Netherlands,,Preliminary round,Luxembourg,1986,False
1581,Bahrain,South Yemen,1,1,draw,,Preliminary round,Bogota,1986,False
1582,Bahrain,Syria,1,1,draw,,Preliminary round,Bogota,1986,False
1583,Bangladesh,India,2,2,draw,,Preliminary round,Tegucigalpa,1986,False
1584,Bangladesh,Indonesia,0,0,draw,,Preliminary round,Tegucigalpa,1986,False
1585,Bangladesh,Thailand,0,1,Thailand,,Preliminary round,Levkosia,1986,False
1586,Belgium,Albania,0,5,Albania,,Preliminary round,Luxembourg,1986,False
1587,Belgium,Greece,6,1,Belgium,,Preliminary round,Bratislava,1986,False
1588,Belgium,Netherlands,1,1,draw,,Preliminary round,Bratislava,1986,False
1589,Belgium,Poland,2,0,Belgium,,Preliminary round,Praha,1986,False
1590,Benin,Tunisia,1,1,draw,,Preliminary round,Antananarivo,1986,False
1591,Bolivia,Brazil,3,1,Bolivia,,Preliminary round,København,1986,False
1592,Bolivia,Paraguay,1,2,Paraguay,,Preliminary round,København,1986,False
1593,Brazil,Bolivia,0,0,draw,,Preliminary round,Guayaquil,1986,False
1594,Brazil,Paraguay,1,0,Brazil,,Preliminary round,Guayaquil,1986,False
1595,Brunei,China,0,0,draw,,Preliminary round,Cairo,1986,False
1596,Brunei,Hong Kong,1,0,Brunei,,Preliminary round,Tegucigalpa,1986,False
1597,Brunei,Macao,1,0,Brunei,,Preliminary round,London,1986,False
1598,Bulgaria,France,0,0,draw,,Preliminary round,London,1986,False
1599,Bulgaria,GDR,8,0,Bulgaria,,Preliminary round,Dortmund,1986,False
1600,Bulgaria,Luxembourg,1,1,draw,,Preliminary round,Blantyre,1986,False
1601,Bulgaria,Yugoslavia,2,0,Bulgaria,,Preliminary round,Hamburg,1986,False
1602,Cameroon,Zambia,4,0,Cameroon,,Preliminary round,Dusseldorf,1986,False
1603,Canada,Costa Rica,7,1,Canada,,Preliminary round,Bochum,1986,False
1604,Canada,Guatemala,1,4,Guatemala,,Preliminary round,Suva,1986,False
1605,Canada,Haiti,0,0,draw,,Preliminary round,Suva,1986,False
1606,Canada,Honduras,0,4,Honduras,,Preliminary round,Suva,1986,False
1607,Chile,Ecuador,2,1,Chile,,Preliminary round,Suva,1986,False
1608,Chile,Paraguay,2,1,Chile,,Preliminary round,Kotka,1986,False
1609,Chile,Peru,0,4,Peru,,Preliminary round,Lahti,1986,False
1610,Chile,Uruguay,3,2,Chile,,Preliminary round,Paris,1986,False
1611,China,Brunei,4,0,China,,Preliminary round,Paris,1986,False
1612,China,Hong Kong,2,0,China,,Preliminary round,Paris,1986,False
1613,China,Macao,5,1,China,,Preliminary round,Jena,1986,False
1614,Colombia,Argentina,2,3,Argentina,,Preliminary round,Leipzig,1986,False
1615,Colombia,Paraguay,2,3,Paraguay,,Preliminary round,Thessalonike,1986,False
1616,Colombia,Peru,2,0,Colombia,,Preliminary round,Thessalonike,1986,False
1617,Colombia,Venezuela,1,2,Venezuela,,Preliminary round,Peiraias,1986,False
1618,Costa Rica,Canada,1,1,draw,,Preliminary round,Conakry,1986,False
1619,Costa Rica,Honduras,0,2,Honduras,,Preliminary round,Tegucigalpa,1986,False
1620,Costa Rica,Trinidad and Tobago,1,1,draw,,Preliminary round,Tegucigalpa,1986,False
1621,Costa Rica,United States,2,1,Costa Rica,,Preliminary round,Tegucigalpa,1986,False
1622,Cote d Ivoire,Gambia,0,1,Gambia,,Preliminary round,Hong Kong,1986,False
1623,Cote d Ivoire,Ghana,1,2,Ghana,,Preliminary round,Lisboa,1986,False
1624,Cyprus,Austria,0,2,Austria,,Preliminary round,Valletta,1986,False
