id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
1398,123,3,2
1399,124,2,0
1400,128,2,1
1401,131,3,2
1402,131,2,0
1403,136,5,0
1404,136,0,3
1405,137,3,1
1406,143,0,1
1407,143,2,0
1408,143,3,1
1409,145,2,0
1410,145,1,1
1411,145,9,0
1412,146,5,0
1413,146,1,0
1414,146,1,0
1415,146,2,2
1416,147,2,1
1417,147,3,2
1418,147,2,0
1419,149,1,3
1420,149,3,0
1421,149,2,0
1422,149,2,1
1423,150,1,1
1424,150,2,1
1425,150,1,0
1426,150,1,0
1427,154,1,0
1428,154,2,1
1429,154,1,0
1430,154,2,5
1431,156,3,0
1432,156,0,0
1433,157,0,3
1434,157,2,3
1435,159,2,0
1436,159,1,0
1437,160,4,1
1438,160,0,2
1439,160,3,0
1440,160,0,2
1441,162,0,7
1442,162,2,3
1443,162,2,0
1444,162,0,1
1445,164,1,3
1446,164,4,0
1447,164,1,1
1448,164,0,0
1449,174,2,0
1450,174,1,0
1451,174,2,1
1452,175,4,1
1453,175,4,0
1454,175,1,1
1455,175,2,1
1456,176,1,0
1457,180,0,1
1458,181,2,1
1459,181,6,0
1460,185,3,0
1461,187,0,0
1462,187,0,2
1463,192,1,0
1464,193,0,0
1465,193,4,0
1466,195,1,0
1467,195,0,2
1468,195,2,3
1469,195,3,0
1470,196,0,0
1471,196,0,0
1472,196,1,0
1473,196,0,1
1474,197,5,0
1475,197,3,1
1476,199,1,0
1477,199,0,3
1478,199,5,2
1479,199,0,1
1480,201,2,0
1481,201,2,2
1482,203,2,0
1483,205,0,0
1484,205,1,0
1485,206,2,0
1486,207,1,0
1487,207,0,0
1488,207,2,0
1489,207,1,1
1490,212,0,2
1491,212,2,1
1492,212,2,0
1493,212,0,0
1494,216,6,1
1495,216,3,0
1496,218,2,0
1497,218,0,0
1498,221,5,0
1499,221,0,1
1500,223,3,2
1501,223,0,0
1502,223,2,2
1503,223,2,2
1504,226,0,2
1505,226,1,1
1506,226,1,2
1507,226,0,4
1508,227,1,0
1509,227,2,1
1510,228,4,0
1511,131,0,0
1512,131,2,2
1513,136,3,2
1514,31,1,1
1515,36,0,1
1516,190,0,1
1517,136,0,0
1518,212,6,0
1519,3,1,1
1520,21,1,2
1521,160,1,0
1522,156,1,0
1523,175,0,1
1524,77,1,1
1525,104,1,1
1526,28,1,0
1527,68,0,0
1528,95,2,0
1529,131,1,1
1530,149,1,2
1531,159,1,0
1532,57,6,1
1533,100,1,2
1534,95,0,3
1535,212,2,0
1536,10,2,0
1537,68,3,0
1538,100,0,1
1539,156,2,2
1540,160,1,3
1541,3,0,3
1542,149,0,3
1543,175,0,0
1544,131,2,0
1545,212,3,4
1546,10,1,0
1547,28,4,0
1548,104,0,2
