id_match,result,date,round,city,edition,is_final
242,103,,Preliminary round,La_Paz,1958,False
243,149,,Preliminary round,Rio de Janeiro,1958,False
244,159,,Preliminary round,Rio de Janeiro,1958,False
245,160,,Preliminary round,Rio de Janeiro,1958,False
246,149,,Preliminary round,Santiago,1958,False
247,84,,Preliminary round,Santiago,1958,False
248,226,,Preliminary round,Athina,1958,False
249,190,,Preliminary round,Port-au-Prince,1958,False
250,196,,Preliminary round,Tel Aviv,1958,False
251,175,,Preliminary round,Luxembourg,1958,False
252,190,,Preliminary round,Mexico D.F,1958,False
253,197,,Preliminary round,Asuncion,1958,False
254,195,,Preliminary round,Bruxelles,1958,False
255,196,,Preliminary round,Asuncion,1958,False
256,190,,Preliminary round,Saarbrucken,1958,False
257,192,,Preliminary round,Glasgow,1958,False
258,76,,Preliminary round,Tel Aviv,1958,False
259,212,,Preliminary round,Milano,1958,False
260,159,,Preliminary round,Tokyo,1958,False
261,0,,Preliminary round,Tokyo,1958,False
262,216,,Preliminary round,Madrid,1958,False
263,218,,Preliminary round,Istanbul,1958,False
264,0,,Preliminary round,Roma,1958,False
265,223,,Preliminary round,Port-au-Prince,1958,False
266,78,,Preliminary round,Mexico D.F,1958,False
267,103,,Preliminary round,Sofija,1958,False
268,223,,Preliminary round,Buenos Aires,1958,False
269,84,,Preliminary round,Wrexham,1958,False
270,226,,Preliminary round,Buenos Aires,1958,False
271,226,,Preliminary round,Wien,1958,False
272,150,,Quarter-finals,Geneve,1958,True
273,156,,Semi-finals,Basel,1958,True
274,10,1962-05-30,Group,Rancagua,1962,True
275,28,1962-05-30,Group,Vina del Mar,1962,True
276,41,1962-05-30,Group,Santiago,1962,True
277,218,1962-05-30,Group,Arica,1962,True
278,54,1962-05-31,Group,Vina del Mar,1962,True
279,95,1962-05-31,Group,Rancagua,1962,True
280,212,1962-05-31,Group,Arica,1962,True
281,0,1962-06-02,Group,Rancagua,1962,True
282,41,1962-06-02,Group,Vina del Mar,1962,True
283,68,1962-06-02,Group,Arica,1962,True
284,226,1962-06-02,Group,Santiago,1962,True
285,95,1962-06-03,Group,Rancagua,1962,True
286,190,1962-06-03,Group,Vina del Mar,1962,True
287,0,1962-06-03,Group,Arica,1962,True
288,28,1962-06-06,Group,Vina del Mar,1962,True
289,0,1962-06-06,Group,Rancagua,1962,True
290,212,1962-06-06,Group,Arica,1962,True
291,0,1962-06-07,Group,Rancagua,1962,True
292,104,1962-06-07,Group,Santiago,1962,True
293,131,1962-06-07,Group,Vina del Mar,1962,True
294,226,1962-06-07,Group,Arica,1962,True
295,28,1962-06-10,Quarter-finals,Vina del Mar,1962,True
296,41,1962-06-10,Quarter-finals,Arica,1962,True
297,54,1962-06-10,Quarter-finals,Rancagua,1962,True
298,28,1962-06-13,Semi-finals,Santiago,1962,True
299,54,1962-06-13,Semi-finals,Vina del Mar,1962,True
300,41,1962-06-16,Match for third place,Santiago,1962,True
301,28,1962-06-17,Final,Santiago,1962,True
302,0,,Group,Goteborg,1962,True
303,160,,Group,Malmo,1962,True
304,0,,Group,Helsingborg,1962,True
305,0,,Group,Eskilstuna,1962,True
306,0,,Group,Malmo,1962,True
307,0,,Group,Stockholm,1962,True
308,10,,Preliminary round,Sofija,1962,False
309,195,,Preliminary round,Guatemala,1962,False
310,196,,Preliminary round,Mexico D.F,1962,False
311,25,,Preliminary round,Budapest,1962,False
312,31,,Preliminary round,Budapest,1962,False
313,77,,Preliminary round,Reykjavik,1962,False
