id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
728,103,1,2
729,206,0,2
730,14,1,2
731,108,1,3
732,36,1,2
733,215,2,6
734,175,0,1
735,149,0,6
736,45,1,2
737,21,1,4
738,95,1,4
739,52,0,0
740,91,2,0
741,2,1,0
742,57,0,3
743,135,2,1
744,48,3,3
745,225,1,4
746,108,0,3
747,94,2,3
748,127,0,2
749,103,1,1
750,72,2,0
751,56,3,0
752,8,0,1
753,63,0,3
754,66,2,3
755,119,1,5
756,36,1,1
757,130,0,1
758,68,0,12
759,83,2,3
760,114,5,1
761,187,2,5
762,146,1,2
763,195,1,3
764,61,0,0
765,86,0,0
766,201,0,1
767,75,0,3
768,77,2,2
769,163,1,2
770,25,1,1
771,155,2,2
772,97,1,4
773,97,1,1
774,98,2,1
775,99,0,2
776,99,0,1
777,142,0,2
778,186,0,3
779,186,0,4
780,149,2,1
781,10,1,1
782,155,2,1
783,52,0,1
784,159,0,4
785,56,0,3
786,156,1,4
787,156,3,1
788,65,2,0
789,217,0,2
790,135,3,1
791,205,0,4
792,148,3,1
793,57,5,1
794,174,1,2
795,35,1,5
796,35,0,7
797,82,1,2
798,135,0,3
799,226,4,0
800,54,0,2
801,86,0,3
802,43,0,0
803,217,2,2
804,158,1,1
805,222,0,4
806,226,0,1
807,77,2,0
808,100,1,2
809,2,0,2
810,163,2,2
811,56,3,1
812,145,0,0
813,189,5,2
814,225,3,0
815,92,1,2
816,135,0,1
817,61,0,1
818,86,0,3
819,204,0,3
820,61,1,8
821,91,1,2
822,130,2,2
823,204,2,0
824,105,1,1
825,124,1,1
826,187,0,1
827,14,0,8
828,194,1,1
829,140,1,2
830,149,1,1
831,142,2,2
832,142,0,2
833,13,0,3
834,109,0,6
835,109,1,2
836,146,1,3
837,146,0,0
838,196,3,3
839,97,0,2
840,97,1,1
841,142,1,0
842,142,0,0
843,105,3,1
844,105,1,0
845,124,0,2
846,201,0,1
847,119,5,0
848,195,1,1
849,206,2,0
850,77,2,0
851,54,0,1
852,13,3,1
853,93,2,1
854,102,2,2
855,102,0,4
856,124,0,2
857,201,0,4
858,201,0,0
859,83,1,1
860,14,3,3
861,14,4,0
862,119,1,0
863,206,5,0
864,98,4,1
865,109,0,6
866,109,1,1
867,61,1,2
868,86,1,0
869,130,0,0
870,48,0,3
871,103,0,1
872,195,1,1
873,41,0,3
874,76,1,0
875,100,2,3
876,43,0,1
877,65,0,5
878,158,1,5
879,189,0,1
880,56,2,2
881,72,1,2
882,108,2,1
883,135,0,2
884,226,2,3
885,194,3,4
886,225,0,0
887,174,2,0
888,91,1,3
889,10,2,3
890,31,0,0
891,140,2,0
892,28,0,0
893,56,0,9
894,103,1,1
895,217,1,1
896,158,7,0
897,194,0,0
898,41,0,0
899,28,3,0
900,225,1,1
901,91,1,4
902,140,4,1
903,103,1,2
904,217,0,3
905,10,0,4
906,158,1,0
907,28,2,1
908,225,1,2
909,28,0,2
910,225,1,2
911,77,0,2
912,81,0,0
913,77,4,0
914,77,0,2
915,13,1,3
916,81,0,0
917,140,0,9
918,41,2,0
919,140,3,1
920,194,1,2
921,28,1,2
922,81,2,0
923,81,1,4
924,189,0,4
925,116,5,0
926,204,0,2
927,148,2,1
928,76,1,0
929,45,2,2
930,130,0,1
931,215,0,0
932,215,0,7
933,35,0,0
934,67,1,1
935,86,0,0
936,153,1,11
937,216,0,1
938,91,1,2
939,104,0,2
940,57,0,3
941,159,2,2
942,174,2,1
943,52,1,0
944,91,0,1
945,91,0,4
946,72,1,6
947,47,0,1
948,86,4,1
949,153,4,1
950,75,0,4
951,66,1,3
952,68,1,2
953,119,0,6
954,100,0,3
955,206,1,3
956,88,0,0
957,94,3,3
958,47,0,0
959,67,0,1
960,153,0,2
961,82,1,0
962,192,2,1
963,50,0,2
964,50,1,2
965,60,1,0
966,61,0,2
967,21,1,2
968,140,1,1
969,68,0,0
970,50,0,6
971,3,0,1
972,103,1,1
973,226,2,2
974,14,1,1
975,216,2,1
976,36,1,1
977,215,1,1
978,205,0,0
979,148,5,1
980,179,1,1
981,179,0,2
982,195,0,2
983,47,0,0
984,67,0,1
985,86,3,2
986,52,4,2
987,57,1,1
988,158,1,1
989,196,0,3
990,222,1,2
991,202,1,2
992,144,2,2
993,145,1,0
994,225,1,1
995,90,1,2
996,204,0,1
997,149,0,1
998,194,2,2
999,173,3,3
1000,175,8,1
1001,19,4,0
1002,192,1,1
1003,127,0,1
1004,36,0,2
1005,130,1,2
1006,48,0,2
1007,128,0,0
1008,123,1,2
1009,93,1,2
1010,186,3,0
1011,13,1,1
1012,17,0,1
1013,161,0,2
1014,186,0,1
1015,75,0,1
1016,205,0,1
1017,93,1,1
1018,98,2,3
1019,109,0,2
1020,142,0,4
1021,186,1,2
1022,198,0,1
1023,77,0,3
1024,127,0,6
1025,206,0,5
1026,109,0,2
1027,161,0,0
1028,95,1,1
1029,140,1,2
1030,94,0,4
1031,217,2,2
1032,220,0,2
1033,25,1,0
1034,43,0,2
1035,155,2,1
1036,156,0,8
1037,100,0,0
1038,86,0,1
1039,91,0,2
1040,192,1,4
1041,65,2,0
1042,156,0,2
1043,28,0,0
1044,155,0,5
1045,48,1,1
1046,45,0,4
1047,145,2,0
1048,158,2,0
1049,222,0,0
1050,158,1,1
1051,159,0,3
