team_raw,team_clean,alias_key,team_id
Serbia (Србија),Serbia,serbia,181
LOSER X,LOSER X,loserx,114
WINNER X,WINNER X,winnerx,227
Brazil,Brazil,brazil,29
Mexico,Mexico,mexico,135
Spain,Spain,spain,194
C�te d'Ivoire,Cte d'Ivoire,ctedivoire,50
Switzerland,Switzerland,switzerland,200
Germany,Germany,germany,83
IR Iran,IR Iran,iriran,100
Belgium,Belgium,belgium,21
Russia,Russia,russia,169
Cameroon,Cameroon,cameroon,36
Japan,Japan,japan,108
Italy,Italy,italy,105
Korea Republic,Korea Republic,korearepublic,191
Croatia,Croatia,croatia,49
Netherlands,Netherlands,netherlands,145
Greece,Greece,greece,85
"rn"">Bosnia and Herzegovina",Bosnia and Herzegovina,bosniaandherzegovina,26
Algeria,Algeria,algeria,3
Sweden,Sweden,sweden,199
Qatar,Qatar,qatar,166
Senegal,Senegal,senegal,180
United States,United States,unitedstates,220
Denmark,Denmark,denmark,58
Morocco,Morocco,morocco,140
Wales,Wales,wales,229
Poland,Poland,poland,163
Tunisia,Tunisia,tunisia,210
South Korea,South Korea,southkorea,191
Iran,Iran,iran,100
Saudi Arabia,Saudi Arabia,saudiarabia,178
Serbia,Serbia,serbia,181
Irish Free State (Saorstát Éireann),Irish Free State,irishfreestate,103
Dutch East Indies (Nederlands-Indië),Dutch East Indies,dutcheastindies,63
Rhodesia,Rhodesia,rhodesia,167
South Yemen (اليمن),South Yemen,southyemen,193
Guayana,Guayana,guayana,89
Guam,Guam,guam,87
LOSER Y,LOSER Y,losery,115
WINNER Y,WINNER Y,winnery,228
"(1-1, 1-0) Croatia",Croatia,croatia,49
"(0-0, 0-0) Spain",Spain,spain,194
"(0-0, 0-0) Brazil",Brazil,brazil,29
"(2-2, 1-0) Argentina",Argentina,argentina,10
"(2-2, 2-0) France",France,france,78
