team_canonical,team_clean_example,canonical_key,iso2,iso3,team_id
USSR,USSR,ussr,,,211
Uganda,Uganda,uganda,,,212
Ukraine,Ukraine,ukraine,,,213
United Arab Emirates,United Arab Emirates,unitedarabemirates,,,214
United States,USA,unitedstates,US,USA,215
Upper Volta,Upper Volta,uppervolta,,,216
Uruguay,Uruguay,uruguay,,,217
Uzbekistan,Uzbekistan,uzbekistan,,,218
Vanuatu,Vanuatu,vanuatu,,,219
Venezuela,Venezuela,venezuela,,,220
Vietnam,Vietnam,vietnam,,,221
Wales,Wales,wales,,,222
Western Samoa,Western Samoa,westernsamoa,,,223
Yemen,Yemen,yemen,,,224
Yugoslavia,Yugoslavia,yugoslavia,,,225
Zambia,Zambia,zambia,,,226
Zimbabwe,Zimbabwe,zimbabwe,,,227
